	10086.PC.481	10086.PC.593	10086.PC.356	10086.PC.355	10086.PC.354	10086.PC.636	10086.PC.635	10086.PC.607	10086.PC.634
10086.PC.481	0.0	0.764397905759	0.769230769231	0.752631578947	0.717171717172	0.78125	0.779342723005	0.781395348837	0.735294117647
10086.PC.593	0.764397905759	0.0	0.788571428571	0.791907514451	0.708571428571	0.802325581395	0.822335025381	0.755319148936	0.80829015544
10086.PC.356	0.769230769231	0.788571428571	0.0	0.67701863354	0.693181818182	0.806818181818	0.802030456853	0.827586206897	0.841584158416
10086.PC.355	0.752631578947	0.791907514451	0.67701863354	0.0	0.717514124294	0.767857142857	0.760638297872	0.825	0.777777777778
10086.PC.354	0.717171717172	0.708571428571	0.693181818182	0.717514124294	0.0	0.833333333333	0.780487804878	0.794258373206	0.819047619048
10086.PC.636	0.78125	0.802325581395	0.806818181818	0.767857142857	0.833333333333	0.0	0.693181818182	0.739130434783	0.642857142857
10086.PC.635	0.779342723005	0.822335025381	0.802030456853	0.760638297872	0.780487804878	0.693181818182	0.0	0.747572815534	0.683937823834
10086.PC.607	0.781395348837	0.755319148936	0.827586206897	0.825	0.794258373206	0.739130434783	0.747572815534	0.0	0.751219512195
10086.PC.634	0.735294117647	0.80829015544	0.841584158416	0.777777777778	0.819047619048	0.642857142857	0.683937823834	0.751219512195	0.0
